(1) Matrix_Reasoning,(11) N-Back,(2) Modified_Token_Test_NEW,(3) Word Definitions,(4) Spelling_Test,(5) Verbal_Fluency,(7) Language_Production,(9) Recalling_Sentences,ds_backward,ds_forward,pop,id,age,education
20.0,75.0,41.0,29.0,9.0,,,60.0,4.0,6.0,dld,67ad2e5067f159560e703a56,24,2 year degree
25.0,40.0,34.0,42.0,12.0,,,69.0,8.0,13.0,dld,67c0626f99010493498eb88c,28,Professional degree
20.0,62.5,17.0,27.0,10.0,,,56.0,14.0,16.0,td,67c87b2dde3911e00c5ed6fd,22,Professional degree
18.0,100.0,34.0,33.0,13.0,,,49.0,6.0,10.0,td,67c893a3e6c0b7f7a5f45428,24,4 year degree
25.0,95.0,23.0,33.0,11.0,,,45.0,7.0,12.0,td,67cb01a82dda2577eb6ee320,26,Professional degree
21.0,87.5,24.0,25.0,12.0,,,25.0,8.0,15.0,td,67d1d3ffb1662a82e5e93fb4,25,4 year degree
16.0,82.5,29.0,39.0,12.0,,,36.0,6.0,9.0,td,67d29a840debd6b228515177,20,4 year degree
20.0,80.0,25.0,20.0,10.0,,,43.0,12.0,15.0,td,67d3047928d1b4f6d6f90ca2,28,4 year degree
21.0,100.0,31.0,25.0,14.0,,,49.0,13.0,16.0,td,67dec2e09102af83f0e3f672,21,Professional degree
14.0,65.0,32.0,31.0,8.0,,,47.0,11.0,0.0,td,67df19d8dfaa291bdd177c93,26,Professional degree
18.0,70.0,28.0,0.0,7.0,,,19.0,5.0,0.0,td,67e3f431f7620a6b8aa24d5c,29,4 year degree
19.0,70.0,17.0,19.0,9.0,,,37.0,14.0,13.0,td,67e9c73caada4a6aea341f5b,,
17.0,47.5,20.0,33.0,11.0,,,44.0,4.0,10.0,td,67ec966150bc6430faffe34d,28,Professional degree
16.0,50.0,23.0,18.0,7.0,,,54.0,11.0,11.0,td,67edb23a43cba5516a26a265,28,4 year degree
13.0,35.0,28.0,34.0,10.0,,,59.0,6.0,11.0,td,67f05d8a2b2f772e31167590,27,4 year degree
20.0,0.0,23.0,0.0,0.0,,,0.0,0.0,0.0,td,67f3125c316dfba61f29ff5d,22,2 year degree
10.0,5.0,16.0,18.0,13.0,,,34.0,0.0,8.0,td,67f5828f366e42610fa78fd7,26,Professional degree
